X,Y,OBJECTID,LANDMARKID,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,CATEGORY,SUBCATEGORY,LANDMARK,MORNING_BELL,NUTRITION_BREAK1,LUNCH,NUTRITION_BREAK2,AFTERNOON_DISMISSAL,PROPERTYUNITID,CIVIC_NO,STREET,STATUS,STATUS_DATE,MUNICIPAL_FACILITY,COMMON_LOCATION_REFERENCE,LOCATION_DESCRIPTION,ON_CALL,DIVISION_RESPONSIBLE,OWNERSHIP,ENFORCEMENT_AREA
-80.472092627414796,43.446574980500813,88,169,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,SHEPPARD PUBLIC SCHOOL,08:50,10:30 - 11:10,,12:50 - 13:30,15:10,1046158,278,WEBER ST E,ACTIVE,,N - NO,30,Sheppard P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,1
-80.429904463100655,43.429734295859518,89,115,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,HOWARD ROBERTSON PUBLIC SCHOOL,08:55,10:35 - 11:15,,12:55 - 13:35,15:15,1013632,130,MORGAN AVE,ACTIVE,,N - NO,13,Howard Robertson P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,4
-80.489816068424773,43.459597925142731,90,138,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,SENIOR ELEMENTARY SCHOOL,MARGARET AVENUE PUBLIC SCHOOL,08:30,11:20 - 12:00,,13:20 - 14:00,14:50,4014537,325,LOUISA ST,ACTIVE,,N - NO,,Margaret Ave P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.492273650973175,43.452551346233093,91,5611,2011-06-28T11:20:04.000Z,2019-03-11T15:21:28.000Z,MINISTRY OF EDUCATION,2011-06-28T00:00:00.000Z,UNIVERSITY,UNIVERSITY,WILFRID LAURIER UNIVERSITY FACULTY OF SOCIAL WORK,,,,,,4014457,120,DUKE ST W,ACTIVE,,N - NO,,WLU Fac. of Social Work,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.450095148242625,43.393463913118453,92,127,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2013-09-04T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. KATERI TEKAKWITHA CATHOLIC SCHOOL,08:25,,11:15 - 12:15,,15:00,1019695,560,PIONEER DR,ACTIVE,,N - NO,40,St. Kateri C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,4
-80.447263871282132,43.439662098043712,95,6735,2014-01-16T15:16:29.000Z,2019-03-11T15:21:28.000Z,CITY OF KITCHENER INTERNET SITE - PRIVATE SCHOOLS,2014-01-16T00:00:00.000Z,ALTERNATIVE,ALTERNATIVE SCHOOL JK TO GRADE 12,STANFORD ACADEMY,,,,,,1014230,146,TRAFALGAR AVE,ACTIVE,,N - NO,,,N - NO,NON-CITY,PRIVATE SCHOOL,0
-80.463847529210739,43.435738423029157,97,162,,2019-03-11T15:21:28.000Z,WWW.ROCKWAY.CA,2006-01-12T00:00:00.000Z,ALTERNATIVE,ALTERNATIVE SCHOOL SECONDARY SCHOOL,ROCKWAY MENNONITE COLLEGIATE,,,,,,1042126,110,DOON RD,ACTIVE,,N - NO,,,N - NO,NON-CITY,PRIVATE SCHOOL,0
-80.561375088813037,43.424452248971981,98,6733,2014-01-16T14:27:50.000Z,2019-03-11T15:21:28.000Z,KITCHENER INTERNET SITE - PRIVATE SCHOOLS,2014-01-16T00:00:00.000Z,ALTERNATIVE,ALTERNATIVE SCHOOL JK TO GRADE 8,FELLOWSHIP CHRISTIAN SCHOOL,,,,,,1042624,1780,GLASGOW ST,ACTIVE,,N - NO,,,N - NO,NON-CITY,PRIVATE SCHOOL,0
-80.485830723193402,43.44083354587201,99,5718,2011-08-03T14:41:59.000Z,2019-03-11T15:21:28.000Z,http://www.medixcollege.ca/campuses/kitchener/?,2011-08-03T00:00:00.000Z,COLLEGE,CAREER COLLEGE,MEDIX SCHOOL - WESTERVELT KITCHENER,,,,,,1062335,248,STIRLING AVE S,ACTIVE,,N - NO,,,N - NO,NON-CITY,PRIVATE SCHOOL,0
-80.485190614191609,43.401277088862038,101,6734,2014-01-16T15:05:41.000Z,2019-03-11T15:54:15.000Z,CITY OF KITCHENER INTERNET SITE - PRIVATE SCHOOLS,2014-01-14T00:00:00.000Z,ALTERNATIVE,ALTERNATIVE SCHOOL JK TO GRADE 12,ST. JUDE'S SCHOOL SCHOLARS' HALL,,,,,,4015342,888,TRILLIUM DR,ACTIVE,,N - NO,,,N - NO,NON-CITY,PRIVATE SCHOOL,4
-80.536660150548315,43.414739130039209,102,148,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,DRIFTWOOD PARK PUBLIC SCHOOL,09:05,<Null>,,<Null>,15:25,1003918,50,PARKLAND CRES,ACTIVE,,N - NO,9,Driftwood Park P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,2
-80.48669600894128,43.442962496936659,962,7953,2015-04-08T11:56:26.000Z,2019-03-11T15:21:28.000Z,http://islamicschoolproject.com/,2015-04-08T00:00:00.000Z,ALTERNATIVE,ALTERNATIVE SCHOOL JK TO GRADE 8,MAC MAPLE GROVE SCHOOL,8:20,10:20 - 11:00,,1:10 - 1:50,15:45,1000157,160,COURTLAND AVE E,ACTIVE,2015-04-08T00:00:00.000Z,N - NO,,,U - UNKNOWN,NON-CITY,PRIVATE SCHOOL,0
-80.439447324988294,43.371957110244196,1281,10312,2017-03-30T10:41:56.000Z,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2017-03-30T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,GROH PUBLIC SCHOOL,9:10am,,,,3:30pm,40263268,225,Thomas Slee Dr,ACTIVE,2018-03-30T00:00:00.000Z,N - NO,,Groh Public School,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,4
-80.41466778882517,43.445404066927125,1601,10372,2017-04-19T09:01:24.000Z,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2017-04-19T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,CHICOPEE HILLS PUBLIC SCHOOL,09:10,11:10 - 11:30,,13:50 - 14:10,15:30,1025866,800,FAIRWAY RD N,ACTIVE,,N - NO,,Chicopee Hills P.S,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,1
-80.499265059345419,43.384858394122645,1602,10373,2017-04-19T09:10:03.000Z,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2017-04-19T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,JANET METCALFE PUBLIC SCHOOL,,,,,,40274130,335,SEABROOK DR,ACTIVE,,N - NO,,Janet Metcalfe P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,4
-80.477840145571847,43.498283137976074,1603,10374,2017-04-19T09:15:35.000Z,2019-03-11T15:21:28.000Z,WWW.WRDSB.CA,2017-04-19T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,PROPOSED NO NAME YET PUBLIC SCHOOL,,,,,,4016998,410,FALCONRIDGE DR,PLANNED,,N - NO,,,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
